fecha,producto,categoria,ciudad,vendedor,cantidad,precio_unitario
2024-03-01,Cuaderno,Papeleria,Medellin,Ana,5,8500
2024-03-01,Mochila,Accesorios,Bogota,Luis,2,320000
2024-03-02,Lapicero,Papeleria,Medellin,Ana,10,1500
2024-03-02,Calculadora,Tecnologia,Cali,Marta,1,210000
2024-03-03,Agenda,Papeleria,Medellin,Carlos,3,25000
2024-03-03,Marcador,Papeleria,Bogota,Luis,8,3200
2024-03-04,Cuaderno,Papeleria,Medellin,Carlos,6,8500
2024-03-04,Mochila,Accesorios,Bogota,Ana,1,320000
2024-03-05,Lapicero,Papeleria,Cali,Marta,12,1500
2024-03-05,Calculadora,Tecnologia,Medellin,Luis,2,210000
2024-03-06,Agenda,Papeleria,Bogota,Ana,4,25000
2024-03-06,Marcador,Papeleria,Medellin,Carlos,7,3200
2024-03-07,Cuaderno,Papeleria,Cali,Luis,9,8500
2024-03-07,Mochila,Accesorios,Bogota,Marta,2,320000
2024-03-08,Lapicero,Papeleria,Medellin,Ana,11,1500
2024-03-08,Calculadora,Tecnologia,Bogota,Carlos,1,210000
2024-03-09,Agenda,Papeleria,Medellin,Luis,5,25000
2024-03-09,Marcador,Papeleria,Cali,Ana,8,3200
2024-03-10,Cuaderno,Papeleria,Bogota,Marta,7,8500
2024-03-10,Mochila,Accesorios,Medellin,Carlos,3,320000
